brand,category,color,description,image_path_1,image_path_2,name,price,product_code,sub_category
BIKE HAND,warsztat-rowerowy,czarny,"\r\nSolidny uchwyt Bike Hand YC-116 ułatwia serwisowanie roweru. Możliwość obrotu klamry o 360° pozwala przystosować ułożenie jednośladu, a pokrętła, o precyzyjnym i łatwym dozowaniu siły, są wygodne w obsłudze. Uchwyt do serwisowania jest mocowany na ścianie.\r\n",/photo/product/bike-hand-yc-116-2-126240-f-sk7-w780-h554_1.png,C:\PG\sem_5\BE\Project\ScrapResults\images\bike-hand-yc-116-2-126240-f-sk7-w780-h554_2.png,Uchwyt do sewisowania rowerów BIKE HAND YC-116, 259.99,DD126240,stojaki-serwisowe-na-rower
TOPEAK,warsztat-rowerowy,czarny-srebrny,,/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_1.png,C:\PG\sem_5\BE\Project\ScrapResults\images\topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_2.png,Stojak TOPEAK Flash Stand Fat, 109.99,DD21536,stojaki-serwisowe-na-rower
WOOM,warsztat-rowerowy,beżowy,"woom Dock to idealne rozwiązanie dla każdego, kto chce wygodnie i bezpiecznie przechowywać rower dziecięcy w garażu, piwnicy czy nawet mieszkaniu. Ten składany stojak będzie rewelacyjnie prezentował się w każdej przestrzeni, a po złożeniu zajmuje bardzo mało miejsca.Stojak opracowano na bazie opatentowanego zawiasu sprężynowego, dzięki któremu jego rozkładanie jest banalnie łatwe i może je wykonać nawet dziecko samodzielnie. Dodatkową zaletą tego rozwiązania jest niemal płaskie złożenie, wyróżniające ten model na tle konkurencji. Dzięki niemu niewykorzystywany stojak można wygodnie schować do szafy czy nawet płaskiej przestrzeni między meblami.Produkt marki woom wytwarzany jest wyłącznie w europejskich zakładach z wysokiej jakości sklejki fazowanej metodą CNC. Jest trwały i bezpieczny dla dzieci. Pasuje do wszystkich rowerków woom z serii 1, 2 oraz 3, ale także modeli innych firm z kołami o rozmiarach od 12 do 16 cali. Przekonaj się, jak praktyczne i wygodne jest to rozwiązanie do każdej przestrzeni!",/photo/product/woom-dock-2-183865-f-sk7-w780-h554_1.png,C:\PG\sem_5\BE\Project\ScrapResults\images\woom-dock-2-183865-f-sk7-w780-h554_2.png,Stojak na rower WOOM Dock,89.99,DD183865,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203793-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203793,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,,,/photo/product/park-tool-pth-1-2-9742-f-sk7-w780-h554_1.png,,Uchwyt PARK TOOL PTH-1,62.99,DD9742,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,czarny,"Stojak naprawczy YC-117 marki Bike Hand pozwala na bezproblemowe wykonanie najprostszych napraw, takich jak regulacja przerzutek czy smarowanie napędu. Dodatkowo świetnie sprawdzi się jako stojak dla nieużywanego roweru. ",/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_1.png,,Stojak serwisowy BIKE HAND YC-117N,47.99,DD98936,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,srebrny,,/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203794,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,czarny,\r\nStojak na rower Bike Hand YC-103 pasuje do rowerów o różnym rozmiarze. Regulacja wysokości dolnego uchwytu i możliwość dostosowania kąta ułożenia pozwalają przystosować produkt do różnorodnych modeli jednośladów. Przeznaczeniem stojaka jest przechowywanie roweru oraz ułatwianie dokonywania drobnych napraw.\r\n,/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_1.png,,Stojak serwisowy BIKE HAND YC-103,69.99,DD126242,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_1.png,,Adaptery FEEDBACK Sprint, 129.99,DD203799,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203790,stojaki-serwisowe-na-rower
