brand,category,color,description,image_path_1,image_path_2,name,price,product_code,sub_category
BIKE HAND,warsztat-rowerowy,czarny,"\r\nSolidny uchwyt Bike Hand YC-116 ułatwia serwisowanie roweru. Możliwość obrotu klamry o 360° pozwala przystosować ułożenie jednośladu, a pokrętła, o precyzyjnym i łatwym dozowaniu siły, są wygodne w obsłudze. Uchwyt do serwisowania jest mocowany na ścianie.\r\n",/photo/product/bike-hand-yc-116-2-126240-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\bike-hand-yc-116-2-126240-f-sk7-w780-h554_2.png,Uchwyt do sewisowania rowerów BIKE HAND YC-116, 259.99,DD126240,stojaki-serwisowe-na-rower
TOPEAK,warsztat-rowerowy,czarny-srebrny,,/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_2.png,Stojak TOPEAK Flash Stand Fat, 109.99,DD21536,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,srebrny,,/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203794,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203793-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203793,stojaki-serwisowe-na-rower
WOOM,warsztat-rowerowy,beżowy,"woom Dock to idealne rozwiązanie dla każdego, kto chce wygodnie i bezpiecznie przechowywać rower dziecięcy w garażu, piwnicy czy nawet mieszkaniu. Ten składany stojak będzie rewelacyjnie prezentował się w każdej przestrzeni, a po złożeniu zajmuje bardzo mało miejsca.Stojak opracowano na bazie opatentowanego zawiasu sprężynowego, dzięki któremu jego rozkładanie jest banalnie łatwe i może je wykonać nawet dziecko samodzielnie. Dodatkową zaletą tego rozwiązania jest niemal płaskie złożenie, wyróżniające ten model na tle konkurencji. Dzięki niemu niewykorzystywany stojak można wygodnie schować do szafy czy nawet płaskiej przestrzeni między meblami.Produkt marki woom wytwarzany jest wyłącznie w europejskich zakładach z wysokiej jakości sklejki fazowanej metodą CNC. Jest trwały i bezpieczny dla dzieci. Pasuje do wszystkich rowerków woom z serii 1, 2 oraz 3, ale także modeli innych firm z kołami o rozmiarach od 12 do 16 cali. Przekonaj się, jak praktyczne i wygodne jest to rozwiązanie do każdej przestrzeni!",/photo/product/woom-dock-2-183865-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\woom-dock-2-183865-f-sk7-w780-h554_2.png,Stojak na rower WOOM Dock,89.99,DD183865,stojaki-serwisowe-na-rower
GIST,warsztat-rowerowy,czarny-srebrny,,/photo/product/gist-stabilus-2-156786-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\gist-stabilus-2-156786-f-sk7-w780-h554_2.png,Stojak na rower GIST Stabilus, 199.99,DD156786,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,,,/photo/product/park-tool-pth-1-2-9742-f-sk7-w780-h554_1.png,,Uchwyt PARK TOOL PTH-1,62.99,DD9742,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_1.png,,Adapter osi do stojaka serwisowego FEEDBACK Sprint,89.99,DD203790,stojaki-serwisowe-na-rower
TOPEAK,warsztat-rowerowy,czarny,"\r\nKompaktowy, składany stojak do przechowywania i eksponowania rowerów. Sprężynowe ramię posiada przednie lub tylne koła zabezpieczające. Do rowerów na kołach 20-29"". Stabilizowane ramię automatycznie dostosowuje się do wielkości koła.",/photo/product/topeak-lineup-2-137731-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\topeak-lineup-2-137731-f-sk7-w780-h554_2.png,Stojak na rower TOPEAK LineUp, 299.99,DD137731,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,czarny-niebieski,,/photo/product/park-tool-106-2-20665-f-sk7-w780-h554_1.png,,Podstawka PARK TOOL 106, 199.99,DD20665,stojaki-serwisowe-na-rower
TOPEAK,warsztat-rowerowy,czarny-czarny-srebrny,,/photo/product/topeak-dual-touch-2-94833-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\topeak-dual-touch-2-94833-f-sk7-w780-h554_2.png,Stojak na rower TOPEAK Dual-Touch, 829.99,DD94833,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,niebieski,"Uchwyt montażowy Park Tool PCS-12.2 jest bardzo przydatny podczas regularnego serwisowania swojego roweru. Dzięki niemu możesz stworzyć stanowisko do niezbędnych napraw albo majsterkowania przy swoim jednośladzie. Podstawa służy do przymocowania do blatu. Dzięki temu przyrząd jest stabilnie i mocno osadzony. Ramię ma możliwość regulacji, dlatego bez problemu dopasujesz je do swoich potrzeb. Znajduje się ono na solidnej głowicy. Na końcu obrotowej części znajduje się uchwyt z dźwignią przystosowaną do rur o średnicy od 25 do 76 mm. Zacisk ma możliwość mikroregulacji i jest bardzo prosty w obsłudze. Dzięki temu uzyskasz optymalną pozycję roweru. Maksymalny udźwig uchwytu montażowego od Park Tool to 36 kilogramów. ",/photo/product/park-tool-pcs-12-2-2-194350-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\park-tool-pcs-12-2-2-194350-f-sk7-w780-h554_2.png,Uchwyt montażowy PARK TOOL PCS-12.2, 699.99,DD194350,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,srebrny,"Stojak serwisowy Bike Hand YC-100ST to profesjonalne akcesorium, które umożliwia łatwe i wygodne serwisowanie roweru w domu, garażu czy w warsztacie rowerowym. Został wykonany z wysokiej jakości aluminium, co gwarantuje wytrzymałość i stabilność podczas pracy. Dzięki przemyślanej konstrukcji, stojak można łatwo i szybko złożyć oraz przechowywać w dowolnym miejscu. Jego regulacja wysokości jest bardzo intuicyjna – za pomocą jednej dźwigni jesteśmy w stanie łatwo podnieść lub opuścić uchwyt, na którym zamocowany jest rower. Dzięki temu, użytkownik może swobodnie dostosować wysokość ramienia do potrzeb serwisowych, co zapewnia wygodę i ergonomię podczas pracy. Szczęki stojaka są pokryte specjalnymi, miękkimi, gumowymi elementami, które zapobiegają uszkodzeniom i zarysowaniom lakieru podczas serwisowania. ",/photo/product/bike-hand-yc-100st-2-190807-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\bike-hand-yc-100st-2-190807-f-sk7-w780-h554_2.png,Stojak serwisowy BIKE HAND YC-100ST, 849.99,DD190807,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,czarny,\r\nStojak na rower Bike Hand YC-103 pasuje do rowerów o różnym rozmiarze. Regulacja wysokości dolnego uchwytu i możliwość dostosowania kąta ułożenia pozwalają przystosować produkt do różnorodnych modeli jednośladów. Przeznaczeniem stojaka jest przechowywanie roweru oraz ułatwianie dokonywania drobnych napraw.\r\n,/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_1.png,,Stojak serwisowy BIKE HAND YC-103,69.99,DD126242,stojaki-serwisowe-na-rower
PRO,warsztat-rowerowy,czarny-szary,"Musisz nasmarować łańcuch i inne elementy napędu? A może chcesz przyjrzeć się bliżej komponentom? Stojak serwisowy PRO ułatwi Ci stabilne przechowywanie roweru na czas serwisowania. Ma solidną konstrukcję.Wszechstronny stojak z aluminiumStojak serwisowy PRO jest wykonany ze stopu aluminium, który łączy lekkość i wytrzymałość całej konstrukcji. Opiera się ona stabilnie o podłogę przez cały czas serwisowania. Rower możesz zabezpieczyć za pomocą specjalnego uchwytu, np. o sztycę podsiodłową. Jednoślad będzie bezpiecznie umiejscowiony, a Ty możesz wykonać szereg nieskomplikowanych prac w domowych warunkach. Łatwy dostęp do wszystkich komponentów przekłada się też na proste, sprawne i dokładne czyszczenie jednośladu. Ponadto konstrukcję można regulować. Stojak serwisowy PRO możesz złożyć po wykonanych czynnościach i przechować w łatwy sposób. Zmieścisz go nawet w szafie.",/photo/product/pro-2-192301-f-sk7-w780-h554_1.png,,Stojak serwisowy PRO , 449.99,DD192301,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,czarny,"Stojak naprawczy YC-117 marki Bike Hand pozwala na bezproblemowe wykonanie najprostszych napraw, takich jak regulacja przerzutek czy smarowanie napędu. Dodatkowo świetnie sprawdzi się jako stojak dla nieużywanego roweru. ",/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_1.png,,Stojak serwisowy BIKE HAND YC-117N,47.99,DD98936,stojaki-serwisowe-na-rower
