Active;Available_for_order;Categories;Color;Delivery_time_of_in_stock_products;Description;Image_URLs;Manufacturer;Name;Product_ID;Quantity;Weight;Wholesale_price
1;1;stojaki-serwisowe-na-rower;Color:czarny:0;5;Stojak naprawczy YC-117 marki Bike Hand pozwala na bezproblemowe wykonanie najprostszych napraw, takich jak regulacja przerzutek czy smarowanie napędu. Dodatkowo świetnie sprawdzi się jako stojak dla nieużywanego roweru. ;https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_2.png;BIKE HAND;Stojak serwisowy BIKE HAND YC-117N;DD98936;7;1.559;47.99
1;1;stojaki-serwisowe-na-rower;Color:czarny:0;8;\r\nStojak na rower Bike Hand YC-103 pasuje do rowerów o różnym rozmiarze. Regulacja wysokości dolnego uchwytu i możliwość dostosowania kąta ułożenia pozwalają przystosować produkt do różnorodnych modeli jednośladów. Przeznaczeniem stojaka jest przechowywanie roweru oraz ułatwianie dokonywania drobnych napraw.\r\n;https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_2.png;BIKE HAND;Stojak serwisowy BIKE HAND YC-103;DD126242;7;2.826;69.99
1;1;stojaki-serwisowe-na-rower;Color:czarny-srebrny:0;2;;https://www.centrumrowerowe.pl/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_2.png;TOPEAK;Stojak TOPEAK Flash Stand Fat;DD21536;7;1.06; 109.99
1;1;stojaki-serwisowe-na-rower;Color:czerwony:0;6;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_2.png;FEEDBACK;Adapter osi do stojaka serwisowego FEEDBACK Sprint;DD203790;6;0.297;89.99
1;0;stojaki-serwisowe-na-rower;Color:czarny-srebrny:0;3;;https://www.centrumrowerowe.pl/photo/product/gist-stabilus-2-156786-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/gist-stabilus-2-156786-f-sk7-w780-h554_2.png;GIST;Stojak na rower GIST Stabilus;DD156786;0;1.437; 199.99
1;1;stojaki-serwisowe-na-rower;Color:czarny-niebieski:0;3;;https://www.centrumrowerowe.pl/photo/product/park-tool-106-2-20665-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-106-2-20665-f-sk7-w780-h554_2.png;PARK TOOL;Podstawka PARK TOOL 106;DD20665;7;2.024; 199.99
1;1;stojaki-serwisowe-na-rower;Color:czerwony:0;8;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_2.png;FEEDBACK;Adaptery FEEDBACK Sprint;DD203799;4;2.348; 129.99
1;1;stojaki-serwisowe-na-rower;Color:beżowy:0;2;woom Dock to idealne rozwiązanie dla każdego, kto chce wygodnie i bezpiecznie przechowywać rower dziecięcy w garażu, piwnicy czy nawet mieszkaniu. Ten składany stojak będzie rewelacyjnie prezentował się w każdej przestrzeni, a po złożeniu zajmuje bardzo mało miejsca.Stojak opracowano na bazie opatentowanego zawiasu sprężynowego, dzięki któremu jego rozkładanie jest banalnie łatwe i może je wykonać nawet dziecko samodzielnie. Dodatkową zaletą tego rozwiązania jest niemal płaskie złożenie, wyróżniające ten model na tle konkurencji. Dzięki niemu niewykorzystywany stojak można wygodnie schować do szafy czy nawet płaskiej przestrzeni między meblami.Produkt marki woom wytwarzany jest wyłącznie w europejskich zakładach z wysokiej jakości sklejki fazowanej metodą CNC. Jest trwały i bezpieczny dla dzieci. Pasuje do wszystkich rowerków woom z serii 1, 2 oraz 3, ale także modeli innych firm z kołami o rozmiarach od 12 do 16 cali. Przekonaj się, jak praktyczne i wygodne jest to rozwiązanie do każdej przestrzeni!;https://www.centrumrowerowe.pl/photo/product/woom-dock-2-183865-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/woom-dock-2-183865-f-sk7-w780-h554_2.png;WOOM;Stojak na rower WOOM Dock;DD183865;5;0.973;89.99
1;1;stojaki-serwisowe-na-rower;Color:niebieski:0;4;Uchwyt montażowy Park Tool PCS-12.2 jest bardzo przydatny podczas regularnego serwisowania swojego roweru. Dzięki niemu możesz stworzyć stanowisko do niezbędnych napraw albo majsterkowania przy swoim jednośladzie. Podstawa służy do przymocowania do blatu. Dzięki temu przyrząd jest stabilnie i mocno osadzony. Ramię ma możliwość regulacji, dlatego bez problemu dopasujesz je do swoich potrzeb. Znajduje się ono na solidnej głowicy. Na końcu obrotowej części znajduje się uchwyt z dźwignią przystosowaną do rur o średnicy od 25 do 76 mm. Zacisk ma możliwość mikroregulacji i jest bardzo prosty w obsłudze. Dzięki temu uzyskasz optymalną pozycję roweru. Maksymalny udźwig uchwytu montażowego od Park Tool to 36 kilogramów. ;https://www.centrumrowerowe.pl/photo/product/park-tool-pcs-12-2-2-194350-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-pcs-12-2-2-194350-f-sk7-w780-h554_2.png;PARK TOOL;Uchwyt montażowy PARK TOOL PCS-12.2;DD194350;4;2.915; 699.99
1;1;stojaki-serwisowe-na-rower;Color:srebrny:0;5;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_2.png;FEEDBACK;Adapter osi do stojaka serwisowego FEEDBACK Sprint;DD203794;9;0.718;89.99
1;1;stojaki-serwisowe-na-rower;Color:czarny:0;5;"\r\nKompaktowy, składany stojak do przechowywania i eksponowania rowerów. Sprężynowe ramię posiada przednie lub tylne koła zabezpieczające. Do rowerów na kołach 20-29"". Stabilizowane ramię automatycznie dostosowuje się do wielkości koła.";https://www.centrumrowerowe.pl/photo/product/topeak-lineup-2-137731-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/topeak-lineup-2-137731-f-sk7-w780-h554_2.png;TOPEAK;Stojak na rower TOPEAK LineUp;DD137731;5;2.013; 299.99
